,Month,Day,Hour,electron,cool,heat
1,1,1,0,13642.56,90.03,1743.48
2,1,1,1,13753.68,90.44,1695.39
3,1,1,2,13762.74,90.52,1717.7
4,1,1,3,13715.03,90.07,1662.2
5,1,1,4,13444.24,90.16,1721.21
6,1,1,5,13601.2,90.82,1675.67
7,1,1,6,13219.98,91.53,1855.3
8,1,1,7,13221.47,92.02,1802.48
9,1,1,8,12911.48,90.44,1851.54
10,1,1,9,14048.4,85.99,1814.14
11,1,1,10,16524.98,90,2114.7
12,1,1,11,18415.4,92.93,2414.63
13,1,1,12,19647.6,95.79,2703.77
14,1,1,13,19921.99,98.49,2937.93
15,1,1,14,19614.68,100.11,3048.35
16,1,1,15,19051.36,106.08,3337.03
17,1,1,16,15989.38,105.22,3331.54
18,1,1,17,13966.67,101.73,3084.96
19,1,1,18,13571.24,98.27,2759.52
20,1,1,19,12994.26,95.4,2533.83
21,1,1,20,12852.48,94.62,2442.43
22,1,1,21,12582.31,90.96,2212.54
23,1,1,22,12267.4,88.79,2045.62
24,1,1,23,11584.07,83.36,1771.41
25,1,2,0,11139.21,80.43,1553.34
26,1,2,1,11162.08,80.85,1549.8
27,1,2,2,11803.73,83.49,1594.04
28,1,2,3,11733.64,84.38,1640.4
29,1,2,4,11397.07,83.92,1574.42
30,1,2,5,11760.38,85.62,1553.79
31,1,2,6,12954.07,92.22,1749.6
32,1,2,7,13034.58,93.53,1744.94
33,1,2,8,13131.52,91.57,1792.99
34,1,2,9,14262.88,88.27,1734.7
35,1,2,10,17264.85,95.05,2109.5
36,1,2,11,18461.54,94.57,2261.68
37,1,2,12,20008.65,95.4,2519.63
38,1,2,13,18017.52,97.26,2746.61
39,1,2,14,17414.24,98,2794.07
40,1,2,15,17879.24,101.38,2939.07
41,1,2,16,15883.43,104.39,3215.34
42,1,2,17,13413.85,97.33,2846.96
43,1,2,18,12936.61,94.33,2540.85
44,1,2,19,12605.82,92.24,2369.72
45,1,2,20,12388.1,90.61,2196.53
46,1,2,21,11822.67,86.41,1989.57
47,1,2,22,11493.08,82.54,1759.38
48,1,2,23,11823.27,84.43,1783.93
49,1,3,0,11280.48,81.24,1584.4
50,1,3,1,11186.31,80.67,1533.31
51,1,3,2,11248.12,80.4,1459.33
52,1,3,3,11991.62,85.87,1634.45
53,1,3,4,11470.9,83.55,1524.11
54,1,3,5,11871.46,85.86,1553.43
55,1,3,6,12672.19,89.83,1585.25
56,1,3,7,13047.56,94.1,1764.6
57,1,3,8,13240.32,93.04,1726.49
58,1,3,9,15183.14,91.71,1847.4
59,1,3,10,15833.21,92.21,1969.14
60,1,3,11,16645.47,91.79,2100.46
61,1,3,12,18885.35,91.95,2294.22
62,1,3,13,19120.6,95.7,2617.3
63,1,3,14,18122.25,97.71,2846.87
64,1,3,15,17861.71,99.94,3007.16
65,1,3,16,15587.18,101.62,3122.44
66,1,3,17,13997.4,100.05,2939.23
67,1,3,18,13320.84,96.71,2642.86
68,1,3,19,12844.74,93.86,2479.95
69,1,3,20,12634.76,90.89,2246.19
70,1,3,21,12382.11,88.53,2084.33
71,1,3,22,12175.63,86.76,1976.81
72,1,3,23,11907.75,84.23,1778.37
73,1,4,0,12143.41,85.31,1713.88
74,1,4,1,12215.52,84.98,1619.81
75,1,4,2,12323.93,86.39,1631.11
76,1,4,3,12389.84,86.67,1586.15
77,1,4,4,12588.89,89.53,1730.28
78,1,4,5,13158.54,94.08,1714.92
79,1,4,6,13747.1,98.64,1908.91
80,1,4,7,14088.57,99.53,1794.43
81,1,4,8,14143.59,99.54,1930.92
82,1,4,9,16090.79,97.26,1925.87
83,1,4,10,18306.23,98.98,2306.66
84,1,4,11,21357.01,102.03,2657.8
85,1,4,12,22951.07,105.9,2962.28
86,1,4,13,22823.15,113.68,3474.28
87,1,4,14,22524.65,118.22,3832.76
88,1,4,15,20147.57,119.45,3962.67
89,1,4,16,18007.22,120.24,4024.93
90,1,4,17,15932.28,116.79,3766.9
91,1,4,18,14151.63,106.58,3272.48
92,1,4,19,13534.67,102.19,2970.18
93,1,4,20,13234.49,98.44,2793.27
94,1,4,21,12845.51,94.41,2594.99
95,1,4,22,12474.72,90.47,2410.8
96,1,4,23,12113.27,86.1,2081.65
97,1,5,0,12318.7,85.83,1882.37
98,1,5,1,12333.28,86.51,1899.94
99,1,5,2,12217.32,84.24,1744.12
100,1,5,3,12388.78,86.51,1831.75
101,1,5,4,12457.83,86.97,1752.91
102,1,5,5,13085.15,92.51,1920.14
103,1,5,6,13360.94,95.43,1927.01
104,1,5,7,13199.64,97.02,2001.07
105,1,5,8,13330.69,95.12,1913.29
106,1,5,9,15524.08,96.05,2112.43
107,1,5,10,17959.83,96.85,2378.12
